<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
^GSPC,????,05/06/2019,D,2908.889893,2937.320068,2898.209961,2932.469971,1857443096,0
^IXIC,????,05/06/2019,D,7981.849609,8135.543457,7981.849609,8123.289063,1733285359,0
^STOXX50E,????,05/07/2019,D,3460.560059,3467.639893,3450.879883,3452.260010,0,0
^NDX,????,05/06/2019,D,7662.924316,7804.544922,7662.924316,7794.092773,549085458,0
EURUSD=X,????,05/07/2019,D,1.119821,1.121831,1.119695,1.120072,0,0
EURTRY=X,????,05/07/2019,D,6.812700,6.951830,6.799400,6.903600,0,0
USDJPY=X,????,05/07/2019,D,110.680000,110.853996,110.519997,110.586998,0,0
ITLMS.MI,????,05/07/2019,D,23358.189453,23588.189453,23262.529297,23498.839844,0,0
^VIX,????,05/07/2019,D,15.900000,16.219999,15.800000,16.190001,0,0
^FTSE,????,05/07/2019,D,7380.640137,7380.640137,7325.560059,7327.370117,0,0
FTSEMIB.MI,????,05/07/2019,D,21444.390625,21554.810547,21440.390625,21455.269531,0,0
^GDAXI,????,05/07/2019,D,12298.709961,12319.049805,12247.530273,12253.919922,0,0
A2A.MI,????,05/07/2019,D,1.460000,1.469500,1.458000,1.459500,3099741,0
AGL.MI,????,05/07/2019,D,8.650000,8.800000,8.620000,8.690000,255065,0
ANIM.MI,????,05/07/2019,D,3.396000,3.410000,3.376000,3.390000,311281,0
ATL.MI,????,05/07/2019,D,23.500000,23.830000,23.299999,23.700001,169064,0
AZM.MI,????,05/07/2019,D,17.254999,17.885000,16.950001,17.840000,794736,0
BMPS.MI,????,05/07/2019,D,1.342000,1.339000,1.314000,1.324000,410181,0
BAMI.MI,????,05/07/2019,D,2.068000,2.080000,2.047000,2.049000,2568450,0
BPE.MI,????,05/07/2019,D,4.168000,4.181000,4.140000,4.157000,414489,0
BZU.MI,????,05/07/2019,D,19.415001,19.459999,19.330000,19.355000,86265,0
CNHI.MI,????,05/07/2019,D,9.404000,9.458000,9.194000,9.406000,1198061,0
CPR.MI,????,05/07/2019,D,8.780000,9.050000,8.720000,9.005000,664268,0
ENEL.MI,????,05/07/2019,D,5.588000,5.632000,5.575000,5.624000,5325735,0
ENI.MI,????,05/07/2019,D,14.900000,14.860000,14.712000,14.734000,2533436,0
EXO.MI,????,05/07/2019,D,57.619999,57.740002,56.540001,57.500000,41867,0
FBK.MI,????,05/07/2019,D,11.045000,11.300000,10.975000,10.950000,3015069,0
FCA.MI,????,05/07/2019,D,13.766000,14.018000,13.870000,13.912000,2068698,0
FCAU,????,05/06/2019,D,15.330000,15.700000,15.310000,15.680000,3528980,0
G.MI,????,05/07/2019,D,17.184999,17.254999,17.155001,17.155001,1488667,0
GEO.MI,????,05/07/2019,D,1.600000,1.624000,1.578000,1.596000,50368,0
IG.MI,????,05/07/2019,D,5.450000,5.578000,5.450000,5.578000,1065375,0
INW.MI,????,05/07/2019,D,7.475000,7.655000,7.470000,7.630000,119802,0
ISP.MI,????,05/07/2019,D,2.295500,2.313500,2.292000,2.295000,25652372,0
LDO.MI,????,05/07/2019,D,9.930000,9.978000,9.874000,9.918000,778641,0
MONC.MI,????,05/07/2019,D,36.400002,36.590000,36.189999,36.189999,177387,0
MS.MI,????,05/07/2019,D,2.901000,2.966000,2.869000,2.941000,481783,0
MB.MI,????,05/07/2019,D,9.294000,9.418000,9.212000,9.342000,475633,0
BMED.MI,????,05/07/2019,D,6.390000,6.390000,6.275000,6.360000,85113,0
PST.MI,????,05/07/2019,D,9.370000,9.438000,9.350000,9.394000,467216,0
RACE.MI,????,05/07/2019,D,118.599998,119.300003,118.349998,118.849998,106015,0
RACE,????,05/06/2019,D,130.250000,133.130005,129.460007,132.330002,342946,0
PRY.MI,????,05/07/2019,D,16.900000,17.045000,16.879999,16.980000,202810,0
SFER.MI,????,05/07/2019,D,19.530001,19.530001,19.155001,19.205000,77104,0
SPM.MI,????,05/07/2019,D,4.241000,4.317000,4.281000,4.283000,1607511,0
SRG.MI,????,05/07/2019,D,4.430000,4.528000,4.423000,4.513000,1122880,0
STM.MI,????,05/07/2019,D,15.860000,15.835000,15.595000,15.755000,1045222,0
TEN.MI,????,05/07/2019,D,11.900000,12.135000,12.035000,12.045000,525045,0
TIT.MI,????,05/07/2019,D,0.494200,0.497800,0.492800,0.496000,18825304,0
TOD.MI,????,05/07/2019,D,43.700001,43.400002,43.000000,43.320000,15194,0
TRN.MI,????,05/07/2019,D,5.300000,5.434000,5.384000,5.424000,975066,0
UBI.MI,????,05/07/2019,D,2.636000,2.694000,2.649000,2.651000,1146164,0
UCG.MI,????,05/07/2019,D,11.874000,11.894000,11.696000,11.710000,5103910,0
US.MI,????,05/07/2019,D,2.420000,2.426000,2.397000,2.415000,556492,0
MN.MI,????,05/07/2019,D,1.656000,1.656000,1.632000,1.636000,91993,0
DIA.MI,????,05/07/2019,D,87.449997,89.300003,87.449997,89.250000,32786,0
STM,????,05/06/2019,D,17.459999,17.610001,17.360001,17.540001,3071162,0
TS,????,05/06/2019,D,26.650000,27.355000,26.629999,27.170000,1913162,0
E,????,05/06/2019,D,33.029999,33.410000,33.029999,33.299999,106646,0
TI,????,05/06/2019,D,5.460000,5.490000,5.430000,5.450000,222706,0
MLM.MI,????,05/07/2019,D,0.409000,0.414500,0.395000,0.412000,393616,0
MTV.MI,????,05/07/2019,D,1.350000,1.328000,1.294000,1.305000,128480,0
ETH.MI,????,05/07/2019,D,3.680000,3.725000,3.655000,3.695000,26251,0
IRE.MI,????,05/07/2019,D,2.078000,2.098000,2.084000,2.092000,233340,0
HER.MI,????,05/07/2019,D,3.148000,3.166000,3.144000,3.158000,423893,0
IGD.MI,????,05/07/2019,D,6.710000,6.880000,6.710000,6.880000,142776,0
CASS.MI,????,05/07/2019,D,8.125000,8.160000,8.090000,8.100000,115130,0
SRS.MI,????,05/07/2019,D,1.553000,1.553000,1.520000,1.525000,1312693,0
AMP.MI,????,05/07/2019,D,17.010000,17.230000,16.870001,17.139999,161162,0
AST.MI,????,05/07/2019,D,0.700000,0.704500,0.690000,0.701500,236351,0
IP.MI,????,05/07/2019,D,31.959999,32.820000,31.959999,32.540001,63855,0
LR.MI,????,05/07/2019,D,1.172000,1.182000,1.156000,1.170000,9912,0
CAI.MI,????,05/07/2019,D,3.610000,3.575000,3.505000,3.505000,66756,0
CIR.MI,????,05/07/2019,D,1.094000,1.094000,1.054000,1.062000,24920,0
BPSO.MI,????,05/07/2019,D,2.378000,2.378000,2.354000,2.358000,93099,0
CVAL.MI,????,05/07/2019,D,0.070000,0.071200,0.069700,0.070000,1317938,0
MEC.MI,????,05/06/2019,D,0.041200,0.041600,0.041000,0.041600,362727,0
DIS.MI,????,05/07/2019,D,0.090200,0.090200,0.089600,0.090000,87471,0
DIB.MI,????,05/07/2019,D,6.340000,6.420000,6.340000,6.430000,2520,0
FKR.MI,????,05/07/2019,D,3.150000,3.240000,3.058000,3.222000,260912,0
BRE.MI,????,05/07/2019,D,11.120000,11.330000,11.110000,11.290000,234846,0
BGN.MI,????,05/07/2019,D,25.000000,24.959999,24.400000,24.900000,103733,0
REC.MI,????,05/07/2019,D,35.849998,36.250000,35.209999,36.000000,57423,0
GEO.MI,????,05/07/2019,D,1.600000,1.600000,1.578000,1.596000,50368,0
FNM.MI,????,05/07/2019,D,0.518000,0.512000,0.505000,0.512000,7613,0
IF.MI,????,05/07/2019,D,14.770000,14.800000,14.220000,14.260000,66166,0
BST.MI,????,05/07/2019,D,1.560000,1.588000,1.556000,1.556000,113048,0
IMA.MI,????,05/07/2019,D,73.800003,75.000000,73.800003,74.500000,10500,0
SAL.MI,????,05/07/2019,D,1.866000,1.856000,1.827000,1.845000,105367,0
PIA.MI,????,05/07/2019,D,2.400000,2.480000,2.400000,2.466000,287473,0
TITR.MI,????,05/07/2019,D,0.458500,0.464100,0.458200,0.463000,4384702,0
<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
^GSPC,????,05/06/2019,D,2908.889893,2937.320068,2898.209961,2932.469971,1857443096,0
^IXIC,????,05/06/2019,D,7981.849609,8135.543457,7981.849609,8123.289063,1733285359,0
^STOXX50E,????,05/07/2019,D,3460.560059,3467.639893,3450.879883,3452.060059,0,0
^NDX,????,05/06/2019,D,7662.924316,7804.544922,7662.924316,7794.092773,549085458,0
EURUSD=X,????,05/07/2019,D,1.119821,1.121831,1.119695,1.120072,0,0
EURTRY=X,????,05/07/2019,D,6.812700,6.951830,6.799400,6.901200,0,0
USDJPY=X,????,05/07/2019,D,110.680000,110.853996,110.519997,110.601997,0,0
ITLMS.MI,????,05/07/2019,D,23465.429688,23588.189453,23465.429688,23500.300781,0,0
